gene	pval	dev_exp	fdr	significant	effect_size	pseudoDEG
16 - MTRNR2L8	0.4250788816510479	0.2504416021755177	0.8158561462727663	False		False
14 - SYF2	0.5968526109560726	0.16003433607491835	0.8158561462727663	False		False
11 - SLC25A16	0.5611733042913566	0.17223483445785404	0.8158561462727663	False		False
11 - ZNF362	0.5298796852448292	0.18780392671687485	0.8158561462727663	False		False
8 - AC020656.1	0.4711390916912881	0.21667524202201638	0.8158561462727663	False		False
17 - DDX39A	0.47455634579800476	0.21770626444400454	0.8158561462727663	False		False
17 - PHACTR1	0.5430937544048153	0.17978036636538208	0.8158561462727663	False		False
7 - MX1	0.5220759218925	0.19100910094794943	0.8158561462727663	False		False
17 - UBALD2	0.5039504957253731	0.20016116414213758	0.8158561462727663	False		False
9 - IFIT1	0.5449385643722537	0.1794229491440582	0.8158561462727663	False		False
17 - SYK	0.5369482643451895	0.18299109851935347	0.8158561462727663	False		False
16 - KLF4	0.6071728875441436	0.14956563026087932	0.8158561462727663	False		False
8 - MX1	0.5046856416499133	0.20254912636369438	0.8158561462727663	False		False
14 - TATDN1	0.531392723929452	0.1837279550848423	0.8158561462727663	False		False
11 - TRIM44	0.5876934646907206	0.16005236728650452	0.8158561462727663	False		False
14 - CASP1	0.6005190950952222	0.157316705019801	0.8158561462727663	False		False
16 - MAP3K8	0.5551032683850579	0.17265008121747738	0.8158561462727663	False		False
17 - APBB1IP	0.5932247371913999	0.1582911632835664	0.8158561462727663	False		False
17 - FCHSD2	0.45816141031374735	0.22366647453984756	0.8158561462727663	False		False
11 - PRF1	0.4324981388509992	0.24362527354081231	0.8158561462727663	False		False
17 - GSTP1	0.47130749638926017	0.21476254024060148	0.8158561462727663	False		False
17 - SCAMP1	0.47819262076726676	0.21420542860162894	0.8158561462727663	False		False
8 - GADD45B	0.4652153053535888	0.21793478217595808	0.8158561462727663	False		False
11 - GLTP	0.5164033702858646	0.19627047615858162	0.8158561462727663	False		False
11 - ZNF292	0.5311830289000042	0.1856804655646559	0.8158561462727663	False		False
12 - ISG15	0.5770616388865695	0.1627517417380011	0.8158561462727663	False		False
10 - SRRM2	0.49673583597550786	0.20301320580724092	0.8158561462727663	False		False
11 - CD52	0.5666607448436309	0.16722283686269512	0.8158561462727663	False		False
17 - NCF1	0.5512932365797087	0.17442724895677142	0.8158561462727663	False		False
14 - EPC1	0.5622879856225853	0.16975190904849569	0.8158561462727663	False		False
17 - SEMA4D	0.5012514049171518	0.20159344339751795	0.8158561462727663	False		False
11 - PUS7L	0.5053901594925876	0.19979502926472692	0.8158561462727663	False		False
11 - FAM192A	0.5287220643798413	0.19246825745530838	0.8158561462727663	False		False
16 - LRRFIP1	0.4326654244652123	0.24335160370061282	0.8158561462727663	False		False
13 - EEF1B2	0.46832996035120666	0.21825016244477036	0.8158561462727663	False		False
14 - NCF1	0.5028644579358882	0.1993416850303098	0.8158561462727663	False		False
14 - TXN	0.5314416455647872	0.18374982729323297	0.8158561462727663	False		False
10 - MAPK1IP1L	0.5337100222187905	0.1884331874641939	0.8158561462727663	False		False
17 - GNPTAB	0.5115016592819545	0.19616646026491824	0.8158561462727663	False		False
11 - PACSIN2	0.5104463533696355	0.19819026978108734	0.8158561462727663	False		False
17 - RPL38	0.485981891114741	0.20698804597757225	0.8158561462727663	False		False
17 - SECISBP2	0.5513526526845043	0.17685479630987888	0.8158561462727663	False		False
17 - STAT2	0.5317460528047795	0.1857313572189957	0.8158561462727663	False		False
16 - ILK	0.4564878118844692	0.2310376542543534	0.8158561462727663	False		False
13 - PTPN11	0.47063358894158325	0.21764102183392675	0.8158561462727663	False		False
11 - LPIN1	0.5476620862218564	0.1830959816252593	0.8158561462727663	False		False
11 - CD74	0.4703364407689975	0.219776034657031	0.8158561462727663	False		False
11 - AGO3	0.47538982259487905	0.21563932840791922	0.8158561462727663	False		False
14 - GARS	0.529451506213164	0.185363978013954	0.8158561462727663	False		False
17 - APEX1	0.46835908058157383	0.21620316913862714	0.8158561462727663	False		False
