resolution,score
0.1,0.9452858622518204
0.2,0.8754874002990645
0.30000000000000004,0.8809012115630515
0.4,0.7305448498149658
0.5,0.9214207528192313
0.6000000000000001,0.914178275366079
0.7000000000000001,0.9147380263208766
0.8,0.7780985916797267
0.9,0.7971304901324927
1.0,0.841812968928354
0.1,0.9452858622518204
0.11,0.9485782643729174
0.12,0.935387573996974
0.13,0.9591013467666922
0.13999999999999999,0.9622154256261093
0.14999999999999997,0.9617322148491807
0.15999999999999998,0.9614305403054173
0.16999999999999998,0.9263374909553893
0.17999999999999997,0.909031720612052
0.18999999999999995,0.9665347448715923
0.19999999999999996,0.8754874002990645
0.20999999999999996,0.8717143329719974
