,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
cluster_1,0.0,30.60732053823208,50.73319632942139,40.84048174617795,38.90376618620399,33.40483150080138,38.78210271249303,31.510793375086354
cluster_2,30.60732053823208,0.0,48.40365051728669,38.28929713796035,23.84656737519038,23.781953102485282,23.200686276827398,21.78003096090516
cluster_3,50.73319632942139,48.40365051728669,0.0,53.64112238390671,53.28989997005335,48.219559131857935,53.869028456317274,47.81857211371094
cluster_4,40.84048174617795,38.28929713796035,53.64112238390671,0.0,39.360869657085054,42.371250876549915,40.246314715041315,41.425345381522824
cluster_5,38.90376618620399,23.84656737519038,53.28989997005335,39.360869657085054,0.0,25.913858907034882,26.66391418512558,23.96115895651227
cluster_6,33.40483150080138,23.781953102485282,48.219559131857935,42.371250876549915,25.913858907034882,0.0,27.929874184126078,21.815385946839644
cluster_7,38.78210271249303,23.200686276827398,53.869028456317274,40.246314715041315,26.66391418512558,27.929874184126078,0.0,23.895416096379144
cluster_8,31.510793375086354,21.78003096090516,47.81857211371094,41.425345381522824,23.96115895651227,21.815385946839644,23.895416096379144,0.0
