gene	pval	dev_exp	fdr	significant	effect_size	pseudoDEG
17 - MARK2	0.16452795191935377	0.7295560921602711	0.7178068555019116	False		False
11 - SEC22B	0.26932287689943246	0.6709104371851312	0.7178068555019116	False		False
17 - KIAA1468	0.25383511663676694	0.6040852902071302	0.7178068555019116	False		False
17 - ST3GAL1	0.5002303862309598	0.23540322213989429	0.7178068555019116	False		False
11 - CEP290	0.14013709614931957	0.761485531680044	0.7178068555019116	False		False
16 - HNRNPU	0.37976015532197205	0.43675246963366576	0.7178068555019116	False		False
17 - RNMT	0.44673734479977856	0.3223020095459026	0.7178068555019116	False		False
17 - NOP53	0.2852656718802229	0.5739825690843905	0.7178068555019116	False		False
8 - LGALS2	0.3592208413913771	0.49577408641093323	0.7178068555019116	False		False
16 - SPI1	0.13779995252849742	0.780009398379725	0.7178068555019116	False		False
10 - BTG2	0.4861124490126568	0.24719357494662964	0.7178068555019116	False		False
15 - ID1	0.29043130696885866	0.6273990166138802	0.7178068555019116	False		False
16 - SLC38A1	0.4178511594479244	0.4242917678913163	0.7178068555019116	False		False
17 - TGIF1	0.23462195670479735	0.6474011215356084	0.7178068555019116	False		False
17 - MARCKSL1	0.241872940286749	0.6597206932390334	0.7178068555019116	False		False
17 - CCNI	0.4146657600290018	0.3876712030923066	0.7178068555019116	False		False
17 - DCAF10	0.3747239269365161	0.46066895315592093	0.7178068555019116	False		False
13 - NEAT1	0.4089395491087977	0.3691851220871919	0.7178068555019116	False		False
16 - AP2A1	0.3615467681413054	0.44317360249939264	0.7178068555019116	False		False
14 - RFLNB	0.4113501605083776	0.43988251926706123	0.7178068555019116	False		False
17 - SP3	0.17829472191388462	0.7154938367927688	0.7178068555019116	False		False
11 - TNFSF10	0.46831665095348174	0.3934268355891116	0.7178068555019116	False		False
17 - NAMPT	0.33986739191029336	0.5261412780690038	0.7178068555019116	False		False
16 - RPS21	0.39181498529456593	0.5010580023966518	0.7178068555019116	False		False
11 - RDH11	0.22910705418158528	0.6585322548516328	0.7178068555019116	False		False
4 - WHAMM	0.5097306950884524	0.23932554491581992	0.7178068555019116	False		False
11 - ATP2B1-AS1	0.23659112022135487	0.6859727604120431	0.7178068555019116	False		False
14 - VPS28	0.41838323828794044	0.42007421225471075	0.7178068555019116	False		False
16 - RPS4Y1	0.4697076223070651	0.37151898419739016	0.7178068555019116	False		False
