gene	pval	dev_exp	fdr	significant	effect_size	pseudoDEG
9 - RPL10A	0.0001532790594035438	0.9718357440481239	0.1417182607502306	False		False
9 - RPSA	0.0002125773911253459	0.9683844893556509	0.1417182607502306	False		False
7 - PLAC8	0.00015953557222192494	0.9705991804375469	0.1417182607502306	False		False
9 - EEF1A1	0.0005241763249252962	0.9569525033074638	0.20554968275104946	False		False
11 - ADGRE5	0.0008019294249299591	0.9500040463475258	0.20554968275104946	False		False
9 - RPL3	0.0007969150170822337	0.9507734386603958	0.20554968275104946	False		False
14 - KLF9	0.0006266160529678766	0.952889730439389	0.20554968275104946	False		False
15 - RBM3	0.0008221987310041978	0.9486945878619447	0.20554968275104946	False		False
9 - RBM3	0.0009619969925660499	0.9460405573643906	0.2137771094591222	False		False
7 - CLU	0.0012132968514017017	0.9380620421447905	0.24265937028034035	False		False
8 - PLAC8	0.0015312364302143555	0.9334842984613815	0.27840662367533736	False		False
16 - IFI6	0.0020230053777174906	0.9266931022047407	0.2890007682453558	False		False
9 - RPLP0	0.0018544893773067006	0.9337270594724482	0.2890007682453558	False		False
8 - CLU	0.0019386088629577136	0.9266777380394329	0.2890007682453558	False		False
17 - IGKC	0.002615632027342496	0.9197072104347354	0.3140992324569054	False		False
9 - RPL4	0.002620254254763865	0.9210143346830347	0.3140992324569054	False		False
9 - PLAC8	0.0028268930921121482	0.92052703871213	0.3140992324569054	False		False
9 - RPS6	0.0027132621678415125	0.9214664440462815	0.3140992324569054	False		False
9 - NAP1L1	0.002984561258734253	0.9189606602157374	0.31416434302465823	False		False
9 - CTSD	0.0031610304752595075	0.9151129221354869	0.31610304752595075	False		False
9 - EEF2	0.0035966825766706734	0.9125388811176403	0.3269711433336976	False		False
16 - SARAF	0.003451844334081633	0.9178290440187696	0.3269711433336976	False		False
14 - IFITM2	0.0037729622828251985	0.9135028359320196	0.32808367676740857	False		False
8 - HLA-DRA	0.004387412065530949	0.9035343756532079	0.36561767212757906	False		False
7 - RPS4X	0.0048899729940266035	0.9063500013265029	0.3911978395221283	False		False
5 - KLF6	0.007258240922074055	0.8896303161314447	0.3953287617133497	False		False
8 - S100A8	0.006546149712373217	0.8912645659089538	0.3953287617133497	False		False
11 - S100A6	0.006017798488455517	0.8928380378380429	0.3953287617133497	False		False
7 - HLA-DPB1	0.007081059237082465	0.8905366071116954	0.3953287617133497	False		False
7 - HP	0.006652762840876014	0.888879811346526	0.3953287617133497	False		False
4 - RPS3A	0.007186322470615569	0.8865801370691513	0.3953287617133497	False		False
9 - CD14	0.005573405010408039	0.8954105703560972	0.3953287617133497	False		False
9 - S100A12	0.00614956676369427	0.893678673930575	0.3953287617133497	False		False
8 - HLA-DPB1	0.005328093484418428	0.899084885310816	0.3953287617133497	False		False
11 - CIRBP	0.006581944711309573	0.891434063420199	0.3953287617133497	False		False
17 - MARCKSL1	0.005353151775363663	0.8995835635006629	0.3953287617133497	False		False
7 - HLA-DRA	0.0073135820916969685	0.881772302304863	0.3953287617133497	False		False
17 - NEAT1	0.007856302352537647	0.8896407248038531	0.39635665597887154	False		False
8 - VCAN	0.008323489775556303	0.8753497428954116	0.39635665597887154	False		False
9 - MNDA	0.008160674765213538	0.8825634527845205	0.39635665597887154	False		False
5 - SOCS3	0.007978716932781516	0.8808564584549743	0.39635665597887154	False		False
8 - CD74	0.007573759458432527	0.8816458398374991	0.39635665597887154	False		False
17 - APEX1	0.00861314881557318	0.8825236535148535	0.4006115728173572	False		False
9 - EEF1B2	0.009282847496028035	0.8777499507538596	0.4036020650446972	False		False
7 - RPL9	0.009154020898019755	0.8798091043182494	0.4036020650446972	False		False
8 - S100A9	0.009167964188329991	0.8729384803392473	0.4036020650446972	False		False
13 - IFITM2	0.010515883058431652	0.8623875084769644	0.4400633243335089	False		False
7 - HLA-DPA1	0.010561519784004214	0.8707039663286605	0.4400633243335089	False		False
17 - RBM3	0.011303963359026281	0.8613644612612005	0.4613862595520931	False		False
16 - RPL3	0.011910987710208931	0.860348861442791	0.4715305344705554	False		False
17 - SNHG8	0.012208867922277045	0.8650456424606241	0.4715305344705554	False		False
9 - MS4A6A	0.012259793896234439	0.8597065027876336	0.4715305344705554	False		False
8 - CD14	0.012669329354888403	0.8653703102090328	0.47808790018446806	False		False
14 - CXCL8	0.013635131756956409	0.8664652684216512	0.4885662450267685	False		False
17 - CD38	0.013679854860749519	0.8608352729081159	0.4885662450267685	False		False
7 - IFITM2	0.013407025738998102	0.8476458664076425	0.4885662450267685	False		False
15 - PAXX	0.014190963945861168	0.8525843778239313	0.48934358434004027	False		False
8 - HLA-DPA1	0.014038902572655054	0.8520626747317079	0.48934358434004027	False		False
9 - S100A8	0.01497522401315421	0.8435107292157555	0.5014970830763965	False		False
9 - S100A9	0.015044912492291895	0.8425297587352069	0.5014970830763965	False		False
7 - S100A8	0.015732541284181445	0.8461793329327547	0.5158210257108671	False		False
14 - CTSD	0.016373517140108484	0.8475151649993675	0.528177972261564	False		False
17 - ITGB7	0.01670435788883018	0.8374392723739372	0.5302970758358787	False		False
8 - RPL3	0.01872371953086549	0.8460449815808333	0.5851162353395466	False		False
7 - CD74	0.019392406155271602	0.8289142457028409	0.5870186061648965	False		False
11 - CD69	0.019665123306524035	0.8422965303075942	0.5870186061648965	False		False
17 - TYMP	0.019483415740928045	0.828950248786875	0.5870186061648965	False		False
9 - CLU	0.02116029057921709	0.8123540103474879	0.622361487624032	False		False
16 - BHLHE40	0.02325097114927488	0.8206601741418482	0.6432082540539745	False		False
17 - AC084033.3	0.023684814655100417	0.8281986106747078	0.6432082540539745	False		False
4 - RPS27A	0.023883679027768334	0.8188223748438828	0.6432082540539745	False		False
9 - SLC25A5	0.024120309527024042	0.8126152299255863	0.6432082540539745	False		False
15 - OAS1	0.02397945283717684	0.8129502171713062	0.6432082540539745	False		False
7 - S100A9	0.024083834660912573	0.8128312135758192	0.6432082540539745	False		False
17 - ISG15	0.022942971537419865	0.8083433443096617	0.6432082540539745	False		False
14 - TSR2	0.02490801833312717	0.8147463935624986	0.6554741666612413	False		False
12 - IFITM2	0.026206928467684687	0.7967031089432035	0.6668039203643648	False		False
16 - RPL14	0.02581278251164576	0.8232013258170583	0.6668039203643648	False		False
15 - FOS	0.02633875485439241	0.8026413418797901	0.6668039203643648	False		False
17 - GAK	0.2996768855383547	0.26412721909531645	0.6804549183876291	False		False
17 - BAZ2B	0.26641036049477074	0.3378104378512846	0.6804549183876291	False		False
6 - MX1	0.1250977959225722	0.5936426315492525	0.6804549183876291	False		False
11 - SRPRA	0.15913925136059093	0.5108053395145005	0.6804549183876291	False		False
17 - C15orf39	0.25066546014789326	0.3370791333725486	0.6804549183876291	False		False
14 - TOP1	0.15043511792296616	0.6503819242707085	0.6804549183876291	False		False
16 - IFITM3	0.0744664916740666	0.6922621196373031	0.6804549183876291	False		False
11 - SLFN12L	0.1794506163621793	0.5216760568844523	0.6804549183876291	False		False
11 - ETS2	0.24014864514798262	0.351690364304614	0.6804549183876291	False		False
11 - CCL5	0.033434664681334825	0.8114239886337369	0.6804549183876291	False		False
14 - OASL	0.2410372105997023	0.44254632140827443	0.6804549183876291	False		False
11 - DDX60	0.2725259617124083	0.29981389432459626	0.6804549183876291	False		False
17 - CD82	0.29712544482750136	0.5264941573230721	0.6804549183876291	False		False
11 - PAPOLA	0.2924509711563149	0.34869844712579157	0.6804549183876291	False		False
11 - PPA1	0.3078444594894385	0.294400284460578	0.6804549183876291	False		False
14 - EREG	0.295405601173066	0.3026954816738463	0.6804549183876291	False		False
3 - XAF1	0.08553669627549965	0.6784149958778968	0.6804549183876291	False		False
17 - TSPAN14	0.2975568559003966	0.278955647092049	0.6804549183876291	False		False
4 - S100A9	0.20599418866922592	0.415716648863825	0.6804549183876291	False		False
11 - BET1L	0.15287722501294398	0.49829614798661037	0.6804549183876291	False		False
16 - RBM47	0.2567601199650468	0.5523433150286747	0.6804549183876291	False		False
17 - PARP10	0.13305647943464904	0.5405101793004288	0.6804549183876291	False		False
13 - EREG	0.24694549870255644	0.3774534250736221	0.6804549183876291	False		False
15 - SNAPIN	0.2703702117187552	0.48423887286329037	0.6804549183876291	False		False
11 - EIF5B	0.1972604692720522	0.45492792050570097	0.6804549183876291	False		False
7 - RPS27A	0.2362914471688583	0.47768482786870536	0.6804549183876291	False		False
14 - MIF	0.10408668372990204	0.6326266828766529	0.6804549183876291	False		False
11 - FAM13B	0.06217133960271248	0.6924115788837045	0.6804549183876291	False		False
14 - SNX3	0.20168884572086399	0.5071911938069837	0.6804549183876291	False		False
9 - IFI16	0.15320467310378127	0.5413096516915739	0.6804549183876291	False		False
16 - MX1	0.06190688980566528	0.7196218575040085	0.6804549183876291	False		False
2 - CD3D	0.10300434468953001	0.6430932281231855	0.6804549183876291	False		False
17 - CD14	0.2068811302021356	0.40756383759767123	0.6804549183876291	False		False
11 - NAA25	0.24931335924187537	0.3365500582829165	0.6804549183876291	False		False
17 - AKNA	0.30627381185062297	0.34693179142571384	0.6804549183876291	False		False
17 - UHMK1	0.23309800569969552	0.4101207516646772	0.6804549183876291	False		False
11 - DNAJB1	0.13708175002437784	0.601151582909167	0.6804549183876291	False		False
16 - RAB2A	0.07457986899998714	0.718723178539429	0.6804549183876291	False		False
6 - XAF1	0.09371198535973058	0.6572901035978221	0.6804549183876291	False		False
16 - OAZ1	0.28258954026287686	0.41544816233868787	0.6804549183876291	False		False
16 - LIMD2	0.27856642619082495	0.5571034872057894	0.6804549183876291	False		False
17 - RAF1	0.2317789743831019	0.3634589235980542	0.6804549183876291	False		False
17 - PUM2	0.30344386060318396	0.34351078318083006	0.6804549183876291	False		False
17 - MYO1F	0.28261114860806846	0.3384278839173528	0.6804549183876291	False		False
16 - IER3	0.3090152000406229	0.5268477991427587	0.6804549183876291	False		False
16 - IL1B	0.2808620143881372	0.44960476201353616	0.6804549183876291	False		False
17 - NSD1	0.2824407455363809	0.37260125201311	0.6804549183876291	False		False
12 - IFI44L	0.21239738509511863	0.43463604709327086	0.6804549183876291	False		False
17 - TRIM22	0.1388295073832967	0.5280697082206545	0.6804549183876291	False		False
17 - SELENOS	0.1155801588594777	0.6787033477192248	0.6804549183876291	False		False
17 - ASPH	0.23322967078899015	0.3659708291820396	0.6804549183876291	False		False
17 - ZNF394	0.31999224701925677	0.2891263970082951	0.6804549183876291	False		False
8 - EREG	0.10203539010645513	0.6362301175478755	0.6804549183876291	False		False
11 - STAT4	0.27841373454867613	0.3006604290362884	0.6804549183876291	False		False
11 - CCR1	0.27037784933617537	0.3044283015210004	0.6804549183876291	False		False
16 - ID2	0.30372919477751226	0.24770516176597213	0.6804549183876291	False		False
16 - RPS23	0.23462565830222504	0.5790412790079966	0.6804549183876291	False		False
17 - RUNX2	0.11037320971951159	0.6177540842554009	0.6804549183876291	False		False
17 - HNRNPAB	0.1824953450863347	0.4508965568661406	0.6804549183876291	False		False
17 - PDIA4	0.08045582614239988	0.6755165417385431	0.6804549183876291	False		False
16 - DNAJB1	0.030802176203343468	0.8131824380845016	0.6804549183876291	False		False
9 - RPL26	0.07682790889635949	0.6949278652231722	0.6804549183876291	False		False
8 - HLA-DQA1	0.07801838318523513	0.7335816425774238	0.6804549183876291	False		False
14 - CLU	0.06045153167998929	0.727300258746665	0.6804549183876291	False		False
14 - POMP	0.14049919085655527	0.6028347224939756	0.6804549183876291	False		False
13 - EPSTI1	0.1316468289430257	0.5659383353749126	0.6804549183876291	False		False
14 - CCND3	0.2873373787500608	0.5143216897436342	0.6804549183876291	False		False
16 - TPM4	0.26031540665882247	0.4644901114168428	0.6804549183876291	False		False
11 - CSNK1A1	0.22724574668155673	0.4139799768280965	0.6804549183876291	False		False
11 - CAMKK2	0.24156642893584734	0.34925687505074476	0.6804549183876291	False		False
16 - TCF25	0.12069522890199702	0.6711270219455638	0.6804549183876291	False		False
11 - CLCN7	0.24934158159416042	0.33688753421887196	0.6804549183876291	False		False
14 - SNHG12	0.3180847611320696	0.23558800730927976	0.6804549183876291	False		False
11 - ANTXR2	0.25876007523384925	0.38976150967984124	0.6804549183876291	False		False
6 - S100A9	0.1851825147519799	0.46985342390225193	0.6804549183876291	False		False
16 - CD14	0.2790972667684034	0.29833944275004365	0.6804549183876291	False		False
17 - ISG20	0.05124819040553297	0.7236510595324236	0.6804549183876291	False		False
16 - SPTAN1	0.08060960393936156	0.7038358841109502	0.6804549183876291	False		False
8 - HP	0.030695575309160006	0.8051385970535118	0.6804549183876291	False		False
7 - SELL	0.056428342230052775	0.7258770050732644	0.6804549183876291	False		False
8 - IFIT3	0.09538414564652098	0.6328572910113688	0.6804549183876291	False		False
4 - ACAP2	0.1429267307513058	0.6292659148750133	0.6804549183876291	False		False
11 - BAZ2A	0.08037954592617114	0.6445827277381473	0.6804549183876291	False		False
11 - S100A8	0.30944564055457935	0.2672095000445962	0.6804549183876291	False		False
14 - VAMP5	0.26347363882112185	0.5053421219085967	0.6804549183876291	False		False
11 - NDRG1	0.2517740105606294	0.3324701291780535	0.6804549183876291	False		False
17 - ERLEC1	0.2423536492255568	0.48181697619557695	0.6804549183876291	False		False
9 - TNFAIP3	0.2813131195201559	0.3260368066668087	0.6804549183876291	False		False
3 - GZMK	0.32187321282070713	0.501845164863965	0.6804549183876291	False		False
11 - OAS2	0.2617441050722743	0.31478758162836196	0.6804549183876291	False		False
5 - S100A8	0.15898065035801923	0.5173158367482967	0.6804549183876291	False		False
2 - CD3G	0.198431469053157	0.5196935021895354	0.6804549183876291	False		False
16 - MED10	0.04094540871808017	0.7834789339557918	0.6804549183876291	False		False
11 - BANF1	0.08071629516128476	0.6884439952860091	0.6804549183876291	False		False
17 - GABPB1-AS1	0.2637387514747416	0.3946515611993092	0.6804549183876291	False		False
16 - KIAA1109	0.2802168857847571	0.5474194995458413	0.6804549183876291	False		False
9 - FCGR3A	0.06298892012176416	0.7286898375446476	0.6804549183876291	False		False
4 - RPS3	0.28119525166172255	0.47285015503063954	0.6804549183876291	False		False
7 - EREG	0.08274174091092013	0.6663337554447355	0.6804549183876291	False		False
16 - RPL28	0.18502445113380261	0.590745014357079	0.6804549183876291	False		False
6 - IFI44L	0.10253374712958108	0.6727590810295364	0.6804549183876291	False		False
11 - SMS	0.3120138753351037	0.40577853454462165	0.6804549183876291	False		False
12 - IRF7	0.13023128877756696	0.6361592635940709	0.6804549183876291	False		False
11 - CDKAL1	0.28799642897647715	0.2678745652505855	0.6804549183876291	False		False
17 - CCR7	0.21734349481451853	0.4141271480264286	0.6804549183876291	False		False
14 - HSPB1	0.31399037688293485	0.29924034655347787	0.6804549183876291	False		False
5 - IFI44L	0.085564031652136	0.6931701801102248	0.6804549183876291	False		False
9 - IRF7	0.16474765606045394	0.5014822682431893	0.6804549183876291	False		False
