gene,comparison,group1,group2,foldchange,pvalue,fdr,rank
S100A8,1_vs_2,1,2,26.77511613187887,0.07088453858472885,0.9999988948760975,1
EEF1A1,1_vs_2,1,2,-24.36549432791809,0.07872027573924302,0.9999988948760975,2
GSTP1,1_vs_2,1,2,1.0218981368235325,0.15782747895673443,0.9999988948760975,3
BTG1,1_vs_2,1,2,-2.568747691296877,0.18132271962179725,0.9999988948760975,4
SBDS,1_vs_2,1,2,-0.4440813872416612,0.20499246830868179,0.9999988948760975,5
RPL10,1_vs_2,1,2,-16.280079453993338,0.22328292643256298,0.9999988948760975,6
RPS12,1_vs_2,1,2,-15.490238524499826,0.2406014092664197,0.9999988948760975,7
TSC22D3,1_vs_2,1,2,-1.4380663614941482,0.249590004415136,0.9999988948760975,8
GCC2,1_vs_2,1,2,-0.3133199489193951,0.25111350039458236,0.9999988948760975,9
ACTB,1_vs_2,1,2,9.73311984046645,0.25594125208423246,0.9999988948760975,10
ANXA2,1_vs_2,1,2,0.5347209443343641,0.25820901179267863,0.9999988948760975,11
S100A4,1_vs_2,1,2,5.020449711158695,0.2599252392216861,0.9999988948760975,12
RPL32,1_vs_2,1,2,-12.120800302606266,0.2839793561311229,0.9999988948760975,13
TAF1D,1_vs_2,1,2,-0.2342485298781335,0.28469798602135665,0.9999988948760975,14
RPL37A,1_vs_2,1,2,-2.3643128369705866,0.28592793901042957,0.9999988948760975,15
VAMP8,1_vs_2,1,2,0.3473164303572222,0.2933041061944952,0.9999988948760975,16
RPL31,1_vs_2,1,2,-1.9579841048469129,0.31706569354692293,0.9999988948760975,17
S100A9,1_vs_2,1,2,14.717774521256812,0.3173974217943579,0.9999988948760975,18
WHAMM,1_vs_2,1,2,-0.2521741183155724,0.3341924549169619,0.9999988948760975,19
NSA2,1_vs_2,1,2,-0.2779725617050735,0.33419612111185837,0.9999988948760975,20
SRP14,1_vs_0,1,0,-1.1454222814226733,5.885603842113268e-07,0.003766261421866788,1
EDF1,1_vs_0,1,0,-0.6921168439056015,1.1033430267663068e-06,0.003766261421866788,2
S100A8,1_vs_0,1,0,-36.96468857055094,2.3199259369536447e-05,0.052793781238608437,3
RPL28,1_vs_0,1,0,-14.435164550224416,4.236501222334327e-05,0.07230648461219112,4
B2M,1_vs_0,1,0,-19.868394228143764,0.00015201995952212103,0.20756805273150405,5
C19orf53,1_vs_0,1,0,-0.4197907462691434,0.0019168738266432672,0.9454905887484688,6
SAP18,1_vs_0,1,0,-0.5794815744556217,0.002314477406513196,0.9454905887484688,7
ACTB,1_vs_0,1,0,-12.78428055122303,0.003722301941101978,0.9454905887484688,8
EEF1A1,1_vs_0,1,0,-23.087790394828268,0.003868516347763938,0.9454905887484688,9
SRSF11,1_vs_0,1,0,-0.3780300957535382,0.004266654384137013,0.9454905887484688,10
TSC22D3,1_vs_0,1,0,-1.91158401234615,0.004783789308752718,0.9454905887484688,11
GPX4,1_vs_0,1,0,-0.5207085282712747,0.005350981724585553,0.9454905887484688,12
NDUFB2,1_vs_0,1,0,-0.3878724242271825,0.0066319442225610155,0.9454905887484688,13
PNISR,1_vs_0,1,0,-0.5692587231568336,0.006647780147720491,0.9454905887484688,14
GUK1,1_vs_0,1,0,-0.37064838253878024,0.008417354902005505,0.9454905887484688,15
CFL1,1_vs_0,1,0,-2.4625482993551677,0.008747408627337284,0.9454905887484688,16
BTG1,1_vs_0,1,0,-2.7816892651426053,0.00926792821252377,0.9454905887484688,17
NSA2,1_vs_0,1,0,-0.435237610472977,0.009691231076187221,0.9454905887484688,18
MRPS21,1_vs_0,1,0,-0.3288938135467307,0.010012283218714368,0.9454905887484688,19
RPL10,1_vs_0,1,0,-19.49915606820667,0.010693661827476577,0.9454905887484688,20
S100A8,2_vs_0,2,0,-63.73980470242981,2.9469086356239417e-13,2.011854525540465e-09,1
ACTB,2_vs_0,2,0,-22.51740039168948,3.234357869237967e-07,0.00110404805866438,2
EDF1,2_vs_0,2,0,-0.6437829723587515,5.842857168631366e-06,0.011079577869386794,3
