,Foldchange,stat,pvalue,FDR,comparison,group1,group2
S100A8,26.77511613187887,1.806216435950682,0.07088453858472885,0.9999988948760975,1_vs_2,1,2
EEF1A1,-24.36549432791809,-1.758160078586674,0.07872027573924302,0.9999988948760975,1_vs_2,1,2
GSTP1,1.0218981368235325,1.412416098934712,0.15782747895673443,0.9999988948760975,1_vs_2,1,2
BTG1,-2.568747691296877,-1.336693453752665,0.18132271962179725,0.9999988948760975,1_vs_2,1,2
SBDS,-0.4440813872416612,-1.2674554925877888,0.20499246830868179,0.9999988948760975,1_vs_2,1,2
RPL10,-16.280079453993338,-1.2178448781302635,0.22328292643256298,0.9999988948760975,1_vs_2,1,2
RPS12,-15.490238524499826,-1.1734848985939739,0.2406014092664197,0.9999988948760975,1_vs_2,1,2
TSC22D3,-1.4380663614941482,-1.151345794357117,0.249590004415136,0.9999988948760975,1_vs_2,1,2
GCC2,-0.3133199489193951,-1.147648981817136,0.25111350039458236,0.9999988948760975,1_vs_2,1,2
ACTB,9.73311984046645,1.1360365876680634,0.25594125208423246,0.9999988948760975,1_vs_2,1,2
ANXA2,0.5347209443343641,1.1306343778437222,0.25820901179267863,0.9999988948760975,1_vs_2,1,2
S100A4,5.020449711158695,1.1265678483682882,0.2599252392216861,0.9999988948760975,1_vs_2,1,2
RPL32,-12.120800302606266,-1.0714228211196453,0.2839793561311229,0.9999988948760975,1_vs_2,1,2
TAF1D,-0.2342485298781335,-1.0698252244378985,0.28469798602135665,0.9999988948760975,1_vs_2,1,2
RPL37A,-2.3643128369705866,-1.0670972156904672,0.28592793901042957,0.9999988948760975,1_vs_2,1,2
VAMP8,0.3473164303572222,1.050900901777438,0.2933041061944952,0.9999988948760975,1_vs_2,1,2
RPL31,-1.9579841048469129,-1.0005060039197953,0.31706569354692293,0.9999988948760975,1_vs_2,1,2
S100A9,14.717774521256812,0.9998204201596653,0.3173974217943579,0.9999988948760975,1_vs_2,1,2
WHAMM,-0.2521741183155724,-0.9657037252068414,0.3341924549169619,0.9999988948760975,1_vs_2,1,2
NSA2,-0.2779725617050735,-0.9656964006403606,0.33419612111185837,0.9999988948760975,1_vs_2,1,2
PSMB10,0.25238868829388916,0.9470358042390377,0.34362053462000364,0.9999988948760975,1_vs_2,1,2
RPL30,-11.492384012991279,-0.9448403618487885,0.34474038240352833,0.9999988948760975,1_vs_2,1,2
RPL41,-11.97951134200452,-0.9308113470047568,0.35195115907209185,0.9999988948760975,1_vs_2,1,2
RPS27,-8.49740636965498,-0.9147629870023635,0.36031606961467877,0.9999988948760975,1_vs_2,1,2
TRAPPC1,0.23956046360958091,0.9108396971776698,0.3623798427740056,0.9999988948760975,1_vs_2,1,2
RPL28,-5.532384029847132,-0.9100372574164576,0.36280286144628215,0.9999988948760975,1_vs_2,1,2
JUNB,-4.570881249048927,-0.9007469622899921,0.36772287302201,0.9999988948760975,1_vs_2,1,2
RPL37,-5.946879302213555,-0.8780878583522741,0.37989604148644907,0.9999988948760975,1_vs_2,1,2
RPL34,-10.058584194094392,-0.8768986558416989,0.3805416863643034,0.9999988948760975,1_vs_2,1,2
RPS15A,-9.878670793679772,-0.8752846541135764,0.3814190418452511,0.9999988948760975,1_vs_2,1,2
PNISR,-0.3456912484780326,-0.8648369056594419,0.38712831177947316,0.9999988948760975,1_vs_2,1,2
RPS8,-10.909722442705581,-0.8644714128517268,0.38732897778049213,0.9999988948760975,1_vs_2,1,2
RPS3A,-10.659765013515115,-0.8550659006700554,0.3925146658368214,0.9999988948760975,1_vs_2,1,2
IL7R,-0.7084681299501512,-0.850831612212536,0.39486289841894084,0.9999988948760975,1_vs_2,1,2
DDX6,-0.21979667395087887,-0.8452999198630432,0.3979434057982568,0.9999988948760975,1_vs_2,1,2
MAPK1IP1L,-0.25163831851696106,-0.8445221721809772,0.3983776788369784,0.9999988948760975,1_vs_2,1,2
RPL36,-3.176288664584533,-0.8374744239890926,0.40232594735617255,0.9999988948760975,1_vs_2,1,2
RPS27A,-10.340097585102198,-0.8308225759280309,0.4060738670828945,0.9999988948760975,1_vs_2,1,2
PRDX1,0.19991407660836308,0.8104023181715551,0.41770898596288464,0.9999988948760975,1_vs_2,1,2
RPS26,-8.262285070608431,-0.7992972846743285,0.4241180529842026,0.9999988948760975,1_vs_2,1,2
ANKRD12,-0.18288665379049793,-0.7936576842444025,0.42739474109001274,0.9999988948760975,1_vs_2,1,2
RPL11,-9.084581345717256,-0.7929242567104304,0.4278219538495248,0.9999988948760975,1_vs_2,1,2
PNRC1,-1.1615329498418487,-0.7886080685975176,0.4303411136312346,0.9999988948760975,1_vs_2,1,2
RPL39,-7.300328469967985,-0.7877260835991275,0.43085694505418204,0.9999988948760975,1_vs_2,1,2
RPLP2,-5.201236313283779,-0.7873990737855223,0.43104828877945633,0.9999988948760975,1_vs_2,1,2
RPL36A,-0.7557479550723717,-0.7860177851530505,0.431857067756542,0.9999988948760975,1_vs_2,1,2
