,Foldchange,stat,pvalue,FDR,comparison,group1,group2
SRP14,-1.1454222814226733,-4.994933519804166,5.885603842113268e-07,0.003766261421866788,1_vs_0,1,0
EDF1,-0.6921168439056015,-4.872250223547455,1.1033430267663068e-06,0.003766261421866788,1_vs_0,1,0
S100A8,-36.96468857055094,-4.231640898384507,2.3199259369536447e-05,0.052793781238608437,1_vs_0,1,0
RPL28,-14.435164550224416,-4.094188187399602,4.236501222334327e-05,0.07230648461219112,1_vs_0,1,0
B2M,-19.868394228143764,-3.787746297688555,0.00015201995952212103,0.20756805273150405,1_vs_0,1,0
C19orf53,-0.4197907462691434,-3.1028181573311135,0.0019168738266432672,0.9454905887484688,1_vs_0,1,0
SAP18,-0.5794815744556217,-3.0465970616228044,0.002314477406513196,0.9454905887484688,1_vs_0,1,0
ACTB,-12.78428055122303,-2.900784142460842,0.003722301941101978,0.9454905887484688,1_vs_0,1,0
EEF1A1,-23.087790394828268,-2.888688867331351,0.003868516347763938,0.9454905887484688,1_vs_0,1,0
SRSF11,-0.3780300957535382,-2.8577432721406795,0.004266654384137013,0.9454905887484688,1_vs_0,1,0
TSC22D3,-1.91158401234615,-2.8212433881355703,0.004783789308752718,0.9454905887484688,1_vs_0,1,0
GPX4,-0.5207085282712747,-2.785108483229148,0.005350981724585553,0.9454905887484688,1_vs_0,1,0
NDUFB2,-0.3878724242271825,-2.714781840946381,0.0066319442225610155,0.9454905887484688,1_vs_0,1,0
PNISR,-0.5692587231568336,-2.713991850963832,0.006647780147720491,0.9454905887484688,1_vs_0,1,0
GUK1,-0.37064838253878024,-2.634853722864883,0.008417354902005505,0.9454905887484688,1_vs_0,1,0
CFL1,-2.4625482993551677,-2.621771388043858,0.008747408627337284,0.9454905887484688,1_vs_0,1,0
BTG1,-2.7816892651426053,-2.6020095102939487,0.00926792821252377,0.9454905887484688,1_vs_0,1,0
NSA2,-0.435237610472977,-2.586655927867947,0.009691231076187221,0.9454905887484688,1_vs_0,1,0
