comparison,group1,group2,n_significant,n_upregulated,n_downregulated,max_abs_foldchange,min_pvalue,min_fdr
1_vs_2,1,2,0,0,0,26.77511613187887,0.07088453858472885,0.9999988948760975
1_vs_0,1,0,2,0,2,36.96468857055094,5.885603842113268e-07,0.003766261421866788
2_vs_0,2,0,6,0,6,63.73980470242981,2.9469086356239417e-13,2.011854525540465e-09
