,Foldchange,stat,pvalue,FDR,comparison,group1,group2
LAMTOR1,-0.4605384936415417,-1.8161028391430711,0.06935459828358097,0.999247160775692,2_vs_0,2,0
YBX1,-0.8063747063391175,-1.7881738310932989,0.07374796689458696,0.999247160775692,2_vs_0,2,0
P4HB,-0.26841833110458807,-1.7743933349176153,0.07599811156307774,0.999247160775692,2_vs_0,2,0
SQSTM1,-0.27903392372149316,-1.7721125573130851,0.07637587486916654,0.999247160775692,2_vs_0,2,0
FAM49B,-0.24285978562495333,-1.7679946399251771,0.07706179974389325,0.999247160775692,2_vs_0,2,0
SUPT4H1,-0.20805070674346257,-1.751911688283282,0.07978899441788992,0.999247160775692,2_vs_0,2,0
SERP1,-0.9952355064528849,-1.7460069257092174,0.08080974839843702,0.999247160775692,2_vs_0,2,0
SH3BGRL,-0.3965710158114745,-1.7392487406280557,0.08199101944373587,0.999247160775692,2_vs_0,2,0
UBL5,-0.6563361799185545,-1.7274644276779711,0.08408428844196815,0.999247160775692,2_vs_0,2,0
S100A12,-5.97240295040024,-1.7180690572735442,0.08578401997816952,0.999247160775692,2_vs_0,2,0
FMNL1,-0.228486955779501,-1.706932589517297,0.0878345826016316,0.999247160775692,2_vs_0,2,0
PHPT1,-0.20593215662302908,-1.6969279775587243,0.08971027785870858,0.999247160775692,2_vs_0,2,0
LAMTOR5,-0.2355662311931288,-1.6948514408186928,0.09010360621991646,0.999247160775692,2_vs_0,2,0
GADD45GIP1,-0.2224465830832261,-1.6763518011410958,0.09366930392828135,0.999247160775692,2_vs_0,2,0
ABRACL,-0.3642733741924336,-1.6691245193578539,0.09509270493925102,0.999247160775692,2_vs_0,2,0
HNRNPA3,-0.2962433438875575,-1.6667343393466756,0.09556724153572213,0.999247160775692,2_vs_0,2,0
CHCHD10,-0.2890511542963322,-1.6665394383820415,0.0956060198409403,0.999247160775692,2_vs_0,2,0
TBCA,-0.3567931608856824,-1.6589067077446433,0.09713459278681595,0.999247160775692,2_vs_0,2,0
TMBIM6,-0.6720673421548147,-1.6476926460981776,0.09941575787044528,0.999247160775692,2_vs_0,2,0
RNASEH2C,-0.21377708016207903,-1.6340389370562907,0.10225067506894979,0.999247160775692,2_vs_0,2,0
C19orf70,-0.19441246290151357,-1.6168620367630835,0.10590806465946928,0.999247160775692,2_vs_0,2,0
SPCS2,-0.2107641269287885,-1.6131995881141856,0.10670115292091328,0.999247160775692,2_vs_0,2,0
MRPS34,-0.23298203385461447,-1.6130493960211474,0.10673377660174224,0.999247160775692,2_vs_0,2,0
TMSB4X,-9.695155348561954,-1.6119120369931779,0.10698108247276525,0.999247160775692,2_vs_0,2,0
OST4,-0.6108574602309924,-1.6104079496767794,0.10730882623640303,0.999247160775692,2_vs_0,2,0
SNRPC,-0.19064353854108287,-1.6070874351620343,0.10803518919453049,0.999247160775692,2_vs_0,2,0
POLR2E,-0.22065883734060887,-1.605425954885177,0.10840009628005942,0.999247160775692,2_vs_0,2,0
SRSF11,-0.21176287165460808,-1.600835300041008,0.10941340283777275,0.999247160775692,2_vs_0,2,0
